carat,cut,color,clarity,depth,table,x,y,z,price
0.4,Ideal,I,VS2,61.4,58.0,4.78,4.73,2.92,840
0.91,Very Good,E,SI1,60.5,61.0,6.19,6.23,3.76,4211
1.01,Ideal,E,VVS2,61.4,56.0,6.49,6.45,3.97,10283
0.51,Ideal,D,SI1,61.8,55.0,5.14,5.18,3.19,1569
1.01,Very Good,D,VS2,59.8,60.0,6.46,6.51,3.88,7487
0.7,Ideal,F,VS1,61.6,56.0,5.65,5.72,3.5,3399
1.01,Premium,J,VS2,61.0,61.0,6.28,6.22,3.81,3722
0.9,Very Good,D,SI2,58.8,59.0,6.24,6.28,3.68,3643
0.9,Good,H,VS2,58.2,59.0,6.36,6.33,3.69,4685
1.28,Ideal,G,VS1,62.1,56.0,6.97,6.94,4.32,10537
0.51,Ideal,G,VS1,62.1,55.0,5.17,5.14,3.2,1781
0.72,Very Good,F,VS1,63.4,57.0,5.68,5.7,3.61,3264
0.54,Ideal,H,VS1,61.8,56.0,5.21,5.25,3.23,1709
1.52,Very Good,D,VS2,63.4,59.0,7.32,7.24,4.61,14680
1.03,Ideal,G,SI1,61.7,56.0,6.5,6.47,4.0,5241
1.5,Good,E,SI1,64.2,55.0,7.22,7.17,4.62,12870
0.54,Ideal,G,SI1,62.5,56.0,5.2,5.24,3.26,1314
2.07,Very Good,I,SI1,62.3,60.0,8.12,8.16,5.07,15847
1.0,Very Good,F,SI2,61.6,61.0,6.33,6.36,3.91,4372
0.7,Good,E,VS1,60.2,61.0,5.71,5.75,3.45,3018
0.41,Ideal,G,VS1,61.6,57.0,4.74,4.77,2.93,899
0.41,Premium,E,VVS1,60.7,58.0,4.86,4.8,2.93,1431
0.36,Ideal,D,SI2,62.3,57.0,4.57,4.52,2.83,689
0.31,Premium,G,IF,61.0,59.0,4.33,4.36,2.65,924
0.37,Premium,D,SI1,62.3,56.0,4.64,4.61,2.88,874
0.3,Very Good,G,VVS1,63.1,56.0,4.28,4.25,2.69,1013
0.4,Ideal,F,VVS2,62.4,57.0,4.73,4.69,2.94,1163
0.3,Premium,H,SI1,60.8,61.0,4.3,4.25,2.6,540
1.02,Very Good,H,SI2,63.4,54.0,6.37,6.43,4.06,4252
0.3,Ideal,H,VVS2,61.9,54.5,4.31,4.35,2.68,631
1.11,Premium,G,VS2,60.8,58.0,6.7,6.65,4.06,6713
0.5,Very Good,E,VS2,61.4,59.0,5.09,5.13,3.14,1624
0.34,Very Good,E,VVS1,61.7,58.0,4.43,4.48,2.75,1014
1.0,Ideal,I,SI2,62.5,56.0,6.38,6.35,3.98,3276
0.32,Ideal,D,SI2,61.7,55.0,4.4,4.38,2.71,612
0.74,Ideal,I,VVS1,60.8,57.0,5.85,5.89,3.57,2822
0.38,Premium,G,VS2,60.4,57.0,4.7,4.67,2.83,983
0.72,Ideal,H,VVS1,61.8,55.0,5.74,5.78,3.56,3180
0.32,Ideal,D,VS2,62.1,56.0,4.43,4.39,2.74,972
1.0,Premium,E,SI1,60.3,62.0,6.52,6.43,3.91,4435
2.1,Fair,G,I1,67.4,59.0,7.82,7.76,5.24,6597
0.7,Very Good,G,SI2,58.2,63.0,5.82,5.79,3.38,1966
0.3,Good,G,IF,63.8,55.0,4.28,4.24,2.72,956
1.31,Premium,H,SI2,60.8,58.0,7.13,7.08,4.32,6529
0.31,Good,G,VVS2,63.4,59.0,4.26,4.29,2.71,707
0.38,Ideal,E,VVS1,61.5,56.0,4.67,4.7,2.88,1154
0.33,Ideal,F,IF,62.2,53.0,4.46,4.48,2.78,957
0.92,Premium,E,SI2,61.7,59.0,6.27,6.18,3.84,3941
0.79,Ideal,F,SI1,62.0,55.0,5.93,5.95,3.68,3081
1.52,Premium,H,VS1,60.6,58.0,7.46,7.39,4.5,12047
1.3,Ideal,G,VVS2,62.0,57.0,6.96,7.03,4.34,11073
1.0,Good,F,VS2,64.4,56.0,6.23,6.28,4.03,5407
0.91,Ideal,G,VS1,62.1,57.0,6.17,6.2,3.84,5795
1.3,Premium,F,VVS1,59.3,59.0,7.11,7.08,4.22,14196
1.35,Premium,J,SI1,61.1,61.0,7.13,7.1,4.35,5715
0.5,Fair,D,SI1,64.6,58.0,5.0,4.97,3.22,1323
1.09,Premium,G,IF,61.3,58.0,6.64,6.6,4.06,10065
1.31,Ideal,G,VS1,62.2,56.0,7.01,7.05,4.37,9891
0.71,Good,D,VS1,63.4,55.0,5.61,5.69,3.58,2816
2.01,Good,J,VS1,63.7,59.0,7.93,7.86,5.03,11526
0.34,Ideal,G,IF,60.7,57.0,4.51,4.55,2.75,974
1.64,Premium,E,SI1,61.8,59.0,7.55,7.51,4.65,12896
0.51,Ideal,E,VS2,62.1,54.0,5.13,5.15,3.19,1608
0.36,Premium,I,VS1,62.0,59.0,4.6,4.53,2.83,729
0.51,Very Good,E,VS1,61.1,59.0,5.14,5.2,3.16,1839
2.18,Very Good,I,SI2,63.3,58.0,8.22,8.18,5.19,12220
0.72,Ideal,I,VVS2,61.2,59.0,5.75,5.79,3.53,2452
0.58,Ideal,E,VS1,62.6,56.0,5.33,5.27,3.32,1893
0.77,Premium,E,VS2,60.5,59.0,5.98,5.92,3.6,3234
1.7,Good,J,VS2,63.6,59.0,7.53,7.48,4.77,8134
0.35,Ideal,J,VS1,62.6,53.7,4.51,4.54,2.83,483
0.77,Ideal,H,VS2,60.9,56.0,5.89,5.94,3.61,3332
1.09,Ideal,F,VVS2,62.0,56.0,6.63,6.6,4.1,10196
1.13,Premium,H,SI1,62.1,58.0,6.7,6.66,4.15,4689
1.71,Very Good,E,SI1,63.4,56.0,7.58,7.5,4.78,13970
0.74,Ideal,J,SI1,61.7,56.0,5.81,5.85,3.6,1963
1.2,Premium,G,VS2,59.4,58.0,6.91,6.85,4.09,7258
0.36,Ideal,G,VS2,62.3,54.0,4.59,4.62,2.87,579
0.4,Very Good,D,VS2,62.3,58.0,4.69,4.72,2.93,746
1.51,Ideal,I,SI1,62.6,55.0,7.37,7.26,4.58,9344
0.35,Ideal,D,VVS1,61.4,55.0,4.55,4.57,2.8,1672
0.72,Ideal,D,VS2,60.8,56.0,5.8,5.84,3.54,3179
0.56,Very Good,H,VS2,61.8,54.1,5.31,5.34,3.29,1576
0.7,Premium,F,SI1,62.4,56.0,5.69,5.63,3.53,2596
1.3,Ideal,J,SI1,61.5,55.0,7.03,7.06,4.33,5728
1.01,Premium,I,SI2,62.9,58.0,6.34,6.31,3.98,3461
0.91,Premium,D,SI1,63.0,59.0,6.15,6.11,3.86,4352
0.34,Ideal,E,SI1,61.0,57.0,4.51,4.48,2.74,765
1.53,Ideal,E,SI2,61.2,57.0,7.42,7.46,4.55,10339
0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1886
0.31,Ideal,E,VS2,61.4,54.0,4.4,4.33,2.68,872
0.4,Very Good,D,VS1,64.2,57.0,4.67,4.7,3.01,967
0.35,Premium,E,SI1,60.8,60.0,4.51,4.57,2.76,614
0.36,Ideal,D,VS2,61.6,56.0,4.57,4.55,2.81,1094
0.35,Premium,F,VS1,60.5,58.0,4.59,4.57,2.77,984
1.16,Premium,F,VS2,62.7,58.0,6.71,6.65,4.19,7003
1.56,Premium,G,SI2,61.7,59.0,7.51,7.43,4.61,8858
1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
0.7,Ideal,D,VS1,61.4,57.0,5.71,5.76,3.52,4323
0.3,Very Good,I,SI2,63.3,56.0,4.3,4.26,2.71,450
0.25,Ideal,G,VVS2,62.1,57.0,4.01,4.07,2.5,525
1.0,Premium,I,SI2,58.2,60.0,6.61,6.55,3.83,2795
0.33,Ideal,F,VVS1,61.1,55.0,4.48,4.52,2.75,854
0.41,Very Good,D,VS2,62.8,58.0,4.73,4.76,2.98,779
1.22,Very Good,F,SI1,63.5,56.0,6.79,6.75,4.3,5329
0.7,Very Good,G,SI2,58.2,63.0,5.82,5.79,3.38,1790
0.31,Premium,G,VVS2,60.0,62.0,4.44,4.4,2.65,907
1.2,Premium,I,VS2,62.3,57.0,6.79,6.74,4.22,4844
0.36,Ideal,D,SI1,62.2,53.0,4.57,4.59,2.85,626
1.27,Premium,J,VS2,62.8,58.0,6.96,6.92,4.36,4011
0.51,Fair,F,SI1,65.6,54.0,5.07,5.02,3.31,1052
0.33,Ideal,G,IF,62.2,56.0,4.45,4.43,2.76,1052
1.0,Ideal,G,VS2,62.3,56.0,6.43,6.32,3.97,5887
0.68,Good,F,VS1,60.0,60.8,5.67,5.71,3.41,2516
0.32,Ideal,H,IF,62.0,55.0,4.39,4.42,2.73,814
0.72,Ideal,F,VS1,61.5,56.0,5.77,5.8,3.56,3759
1.26,Ideal,J,VS2,63.2,57.0,6.86,6.81,4.32,5306
0.31,Ideal,E,IF,61.5,56.0,4.35,4.4,2.69,1214
1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,7066
0.56,Ideal,G,SI1,63.0,55.0,5.26,5.22,3.3,1287
0.74,Ideal,I,VS1,61.1,57.0,5.83,5.86,3.57,2947
0.36,Premium,D,SI2,63.0,59.0,4.52,4.49,2.84,643
1.51,Ideal,H,SI1,61.7,56.0,7.25,7.18,4.45,7780
0.42,Ideal,D,VVS1,61.6,56.0,4.82,4.79,2.96,1621
1.14,Ideal,F,VVS1,61.6,57.0,6.71,6.76,4.15,9259
1.5,Premium,G,VS1,61.2,59.0,7.36,7.32,4.49,14234
0.4,Ideal,F,VVS2,61.1,57.0,4.8,4.73,2.91,1039
0.31,Ideal,G,VS2,61.6,54.0,4.39,4.41,2.71,544
1.2,Very Good,H,SI2,63.5,57.0,6.67,6.71,4.25,5221
0.9,Very Good,I,VS1,63.3,59.0,6.1,6.06,3.85,3580
1.05,Ideal,G,VVS2,62.5,55.0,6.49,6.53,4.07,8645
0.53,Very Good,E,VVS2,60.7,59.0,5.19,5.28,3.18,2297
0.41,Ideal,D,VVS1,61.7,55.0,4.77,4.8,2.95,1376
1.01,Ideal,G,VS2,61.9,58.0,6.37,6.43,3.96,6449
1.5,Premium,H,SI2,60.2,59.0,7.43,7.35,4.45,5937
0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,1066
0.32,Premium,F,VVS1,60.7,58.0,4.4,4.43,2.68,1235
0.3,Ideal,G,VS2,62.3,58.0,4.26,4.28,2.66,545
0.83,Good,H,SI2,63.9,56.0,5.93,5.99,3.81,2316
0.33,Ideal,D,VS2,62.6,56.0,4.43,4.39,2.76,1002
0.7,Premium,G,SI1,62.2,58.0,5.69,5.76,3.56,2106
0.65,Ideal,H,VS1,61.8,55.0,5.6,5.56,3.45,2106
1.21,Ideal,J,VS1,61.8,56.2,6.78,6.86,4.2,5604
1.5,Very Good,E,SI1,61.4,59.0,7.24,7.41,4.5,11533
0.53,Ideal,F,SI1,62.9,57.0,5.18,5.15,3.25,1363
0.41,Ideal,E,SI1,62.1,54.0,4.76,4.81,2.97,755
1.0,Premium,F,SI2,62.9,59.0,6.39,6.3,3.99,4155
0.3,Ideal,G,VS1,62.2,55.0,4.28,4.31,2.67,605
1.09,Premium,E,VS2,61.6,59.0,6.62,6.54,4.05,7813
0.53,Ideal,E,VS2,61.5,56.0,5.23,5.18,3.2,1801
1.01,Premium,G,VVS2,61.2,58.0,6.45,6.49,3.96,8016
1.02,Ideal,F,VS1,60.7,56.0,6.53,6.61,3.99,7091
1.38,Premium,G,VS1,62.4,58.0,7.14,7.09,4.44,10850
0.41,Premium,E,SI1,61.4,56.0,4.81,4.77,2.94,969
0.7,Premium,G,VVS2,59.3,54.0,5.89,5.78,3.46,3450
0.71,Premium,F,VS1,62.7,59.0,5.7,5.62,3.55,2839
0.71,Very Good,E,SI1,63.1,59.0,5.75,5.62,3.59,2441
0.33,Ideal,E,VS2,61.8,55.0,4.48,4.45,2.76,928
1.57,Very Good,D,SI1,62.3,59.0,7.39,7.44,4.62,12304
0.51,Very Good,G,VS1,63.3,56.0,5.05,5.08,3.21,1560
0.33,Premium,G,VS1,59.2,59.0,4.51,4.54,2.68,666
1.52,Ideal,E,SI1,62.8,55.0,7.3,7.35,4.6,12431
1.0,Good,J,VVS1,63.5,59.0,6.29,6.34,4.01,4633
1.18,Ideal,H,SI2,61.2,57.0,6.81,6.86,4.18,5182
0.33,Ideal,D,VS2,60.9,56.0,4.49,4.51,2.74,940
1.7,Fair,D,I1,64.7,56.0,7.46,7.37,4.8,5617
0.5,Ideal,E,SI1,60.6,59.0,5.13,5.16,3.12,1337
0.35,Good,G,SI1,63.8,54.0,4.48,4.46,2.85,669
1.29,Ideal,J,SI1,61.6,58.0,6.96,6.99,4.3,5607
0.33,Very Good,H,VVS2,62.4,60.0,4.39,4.42,2.75,666
0.9,Very Good,E,VS2,62.9,57.0,6.16,6.18,3.88,4580
1.51,Ideal,H,VS1,61.2,58.0,7.36,7.42,4.52,10186
0.9,Good,G,SI1,65.2,58.0,6.0,6.06,3.93,3669
0.3,Premium,E,SI1,61.8,60.0,4.28,4.23,2.63,675
0.41,Premium,G,SI1,62.6,59.0,4.72,4.77,2.97,719
0.7,Premium,E,VS2,60.9,59.0,5.71,5.68,3.47,2697
0.9,Very Good,E,VS1,62.3,56.0,6.1,6.19,3.83,5001
2.03,Good,I,SI1,62.7,61.0,8.04,7.93,5.01,15339
1.01,Very Good,E,VS2,60.4,58.0,6.47,6.51,3.92,6666
0.5,Ideal,D,VS1,61.6,57.0,5.13,5.09,3.15,2025
0.72,Premium,J,VS2,60.2,59.0,5.85,5.81,3.51,1944
0.32,Premium,H,SI1,62.3,60.0,4.36,4.4,2.73,461
1.0,Premium,D,SI1,61.5,60.0,6.34,6.38,3.91,5390
0.9,Very Good,G,VS2,62.4,61.0,6.13,6.17,3.84,4210
0.73,Ideal,G,SI1,62.1,54.0,5.78,5.81,3.6,2583
1.7,Premium,I,VS2,61.7,59.0,7.63,7.57,4.69,11062
0.4,Premium,D,VVS2,60.4,59.0,4.77,4.76,2.88,1323
0.31,Very Good,G,VS2,63.0,54.0,4.33,4.37,2.74,544
1.51,Ideal,H,SI1,62.4,57.0,7.3,7.34,4.57,9569
0.33,Very Good,J,IF,60.9,54.0,4.47,4.53,2.74,529
0.8,Very Good,F,VS1,62.3,57.0,5.92,5.95,3.7,3720
0.34,Very Good,D,SI1,62.8,55.0,4.45,4.5,2.81,626
0.91,Premium,D,SI2,61.2,58.0,6.21,6.25,3.81,3958
0.5,Ideal,H,SI1,62.0,56.0,5.08,5.11,3.16,1140
2.02,Very Good,I,SI1,60.4,58.0,8.2,8.16,4.94,17357
0.32,Premium,H,IF,61.8,58.0,4.39,4.35,2.7,979
1.13,Premium,G,VVS1,59.3,59.0,6.79,6.87,4.05,8709
0.33,Ideal,I,VS1,62.1,53.9,4.43,4.45,2.76,534
1.2,Very Good,G,SI2,62.1,56.0,6.79,6.87,4.24,5183
1.0,Very Good,I,SI1,63.3,58.0,6.34,6.3,4.0,4200
0.7,Very Good,D,SI1,63.4,58.0,5.63,5.66,3.58,2734
0.3,Premium,D,VVS2,62.4,58.0,4.26,4.3,2.67,752
0.24,Very Good,E,VVS2,61.6,59.0,3.98,4.01,2.46,552
0.51,Ideal,E,SI1,62.7,55.0,5.1,5.07,3.19,1546
0.44,Ideal,F,VVS1,61.5,57.0,4.86,4.9,3.0,1260
1.02,Very Good,F,SI1,63.7,56.0,6.34,6.41,4.06,5701
0.91,Very Good,D,SI1,63.2,59.0,6.11,6.14,3.87,4466
0.52,Ideal,D,SI1,61.1,57.0,5.19,5.25,3.19,1547
0.31,Ideal,E,VS1,61.2,55.0,4.4,4.42,2.7,754
1.0,Good,I,VVS2,57.4,59.0,6.61,6.53,3.77,4032
0.41,Premium,F,SI1,59.8,59.0,4.85,4.82,2.89,969
0.3,Ideal,E,VS1,61.3,58.0,4.29,4.32,2.64,694
0.59,Ideal,G,VVS2,62.2,56.0,5.39,5.35,3.34,2283
0.32,Very Good,D,SI2,63.4,56.0,4.38,4.36,2.77,612
1.0,Very Good,H,SI1,63.6,54.0,6.33,6.37,4.04,4467
0.3,Very Good,I,VVS2,61.9,61.0,4.28,4.32,2.66,526
0.33,Ideal,G,IF,61.8,55.0,4.48,4.45,2.76,1052
1.11,Premium,E,VS1,61.2,58.0,6.69,6.65,4.08,8329
0.55,Ideal,G,SI2,62.1,57.0,5.3,5.23,3.27,1240
0.51,Ideal,F,VVS2,61.2,56.0,5.17,5.19,3.17,2093
1.71,Good,H,VS2,63.7,58.0,7.57,7.54,4.81,13068
1.0,Fair,E,VS2,66.4,51.0,6.31,6.22,4.16,4480
1.0,Premium,F,VS2,62.6,60.0,6.37,6.29,3.96,6468
2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,17265
0.3,Ideal,H,VS1,62.9,54.0,4.31,4.28,2.7,675
0.4,Good,D,VS1,64.0,55.0,4.67,4.7,3.0,742
0.3,Very Good,D,VS2,62.4,56.0,4.27,4.32,2.68,710
0.34,Good,F,SI1,61.9,56.0,4.5,4.52,2.79,581
0.63,Ideal,F,VVS2,61.9,57.0,5.47,5.51,3.4,2835
0.52,Very Good,E,VS1,58.9,64.0,5.23,5.3,3.1,2092
0.73,Ideal,I,SI2,62.4,56.0,5.74,5.77,3.59,2218
1.07,Fair,G,I1,64.8,56.0,6.53,6.43,4.2,2375
1.05,Ideal,F,VVS2,62.1,54.0,6.52,6.55,4.06,9092
0.45,Good,D,VS2,63.7,61.0,4.81,4.73,3.04,1197
0.32,Premium,G,VVS2,61.7,59.0,4.37,4.41,2.71,730
0.31,Premium,F,VS2,59.4,58.0,4.45,4.37,2.62,749
1.01,Premium,D,VVS2,60.2,58.0,6.57,6.51,3.94,10147
0.41,Premium,G,VS1,60.0,61.0,4.86,4.77,2.89,961
0.3,Very Good,H,VVS1,63.4,57.0,4.31,4.27,2.72,878
2.01,Premium,G,SI1,61.8,59.0,8.15,8.09,5.02,15105
0.32,Ideal,E,VS1,61.5,56.0,4.4,4.38,2.7,972
0.58,Ideal,H,SI1,60.2,57.0,5.47,5.43,3.28,1421
0.31,Ideal,G,SI1,62.1,54.0,4.34,4.36,2.7,493
2.33,Good,G,SI2,63.9,60.0,8.37,8.3,5.32,13242
0.71,Very Good,H,VS1,62.6,58.0,5.72,5.75,3.59,2423
0.51,Ideal,D,SI1,60.4,55.0,5.48,5.18,3.16,1687
0.3,Very Good,D,SI1,63.4,54.0,4.31,4.27,2.72,662
1.01,Good,E,VS2,62.6,58.0,6.33,6.36,3.97,6221
0.6,Ideal,F,SI1,62.7,54.0,5.43,5.39,3.39,1654
0.4,Ideal,D,VS1,59.9,57.0,4.77,4.82,2.87,1123
0.9,Very Good,F,VS2,62.2,57.0,6.17,6.24,3.86,4617
0.37,Very Good,E,SI2,61.9,55.0,4.63,4.67,2.87,541
0.45,Fair,E,VS2,65.8,58.0,4.81,4.74,3.14,951
1.31,Premium,I,VS1,62.8,57.0,6.98,6.9,4.36,5759
1.08,Very Good,F,SI2,63.4,55.0,6.53,6.5,4.13,3847
1.01,Premium,E,SI1,62.4,58.0,6.42,6.37,3.99,4480
0.44,Premium,D,SI1,61.9,59.0,4.86,4.9,3.02,849
1.51,Premium,G,VS2,61.4,58.0,7.4,7.3,4.51,12068
1.2,Ideal,H,SI1,61.7,55.0,6.86,6.82,4.22,5822
1.0,Good,E,SI1,59.8,65.0,6.56,6.45,3.89,4213
1.11,Ideal,H,SI1,62.5,56.0,6.65,6.63,4.15,5395
0.38,Ideal,H,VVS2,61.4,57.0,4.63,4.65,2.85,833
0.51,Ideal,D,VS2,62.9,56.0,5.1,5.07,3.2,1716
0.93,Very Good,E,SI1,63.1,57.0,6.19,6.17,3.9,4531
1.51,Good,D,SI1,64.9,60.0,7.14,7.2,4.65,11087
0.77,Very Good,G,VS2,58.3,63.0,6.0,6.05,3.51,2896
0.34,Ideal,H,VVS1,61.6,53.0,4.5,4.52,2.78,751
0.43,Ideal,D,VS1,62.1,55.0,4.86,4.83,3.01,1264
1.51,Ideal,D,SI1,61.9,56.0,7.35,7.41,4.57,13588
0.41,Very Good,F,VS1,62.9,57.0,4.7,4.74,2.97,889
0.35,Premium,H,SI2,62.0,58.0,4.47,4.5,2.78,429
1.26,Ideal,H,SI1,61.9,57.0,6.88,6.93,4.27,8110
0.71,Ideal,F,SI1,60.9,56.0,5.79,5.81,3.53,2335
0.36,Premium,E,SI1,60.9,60.0,4.61,4.56,2.79,810
1.01,Good,F,SI2,65.7,58.0,6.12,6.2,4.05,4049
0.42,Very Good,H,VVS1,60.9,62.0,4.8,4.86,2.94,1026
1.01,Very Good,I,VS2,62.3,60.0,6.33,6.41,3.97,4666
0.34,Ideal,H,VS1,62.1,57.0,4.51,4.48,2.79,765
0.35,Ideal,I,VS2,61.1,57.0,4.55,4.58,2.79,509
0.7,Very Good,E,SI2,60.4,59.0,5.7,5.75,3.46,2453
1.55,Ideal,H,IF,61.4,57.0,7.47,7.42,4.57,13544
1.0,Premium,G,VS1,62.0,62.0,6.38,6.33,3.94,6115
1.1,Very Good,I,VS1,60.8,58.3,6.63,6.68,4.04,5196
1.51,Very Good,F,SI2,63.4,57.0,7.29,7.25,4.61,9471
0.53,Premium,F,SI1,62.0,59.0,5.23,5.16,3.22,1428
0.4,Good,G,VVS2,61.4,64.0,4.65,4.7,2.87,974
0.32,Ideal,G,IF,61.2,56.0,4.4,4.43,2.7,918
0.31,Premium,G,VVS2,61.5,58.0,4.34,4.31,2.66,907
1.01,Ideal,E,SI1,61.8,56.0,6.46,6.51,4.01,5132
1.01,Fair,E,VVS1,66.1,55.0,6.19,6.1,4.06,8529
1.06,Ideal,F,SI1,62.1,57.0,6.51,6.53,4.05,5655
1.03,Ideal,G,VS1,63.0,56.0,6.46,6.43,4.06,6659
0.4,Very Good,F,VS1,62.9,58.0,4.67,4.71,2.95,982
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,505
0.51,Premium,E,SI1,61.0,58.0,5.13,5.1,3.12,1443
1.5,Good,E,VS2,63.9,58.0,7.21,7.19,4.6,13846
0.77,Premium,E,SI1,60.4,58.0,6.0,5.88,3.59,2975
0.31,Ideal,G,IF,61.6,55.0,4.35,4.38,2.69,891
1.02,Ideal,H,SI1,61.6,57.0,6.43,6.5,3.98,4540
0.34,Very Good,H,VVS2,63.0,55.0,4.44,4.48,2.81,686
2.08,Ideal,H,SI1,61.7,58.0,8.13,8.21,5.04,17469
0.79,Premium,F,VS2,60.7,60.0,5.95,5.97,3.62,3089
1.7,Premium,I,SI1,59.7,60.0,7.77,7.72,4.62,10501
0.32,Ideal,H,SI1,61.2,56.0,4.43,4.46,2.72,430
0.31,Ideal,D,SI2,62.1,57.0,4.32,4.34,2.69,462
0.34,Very Good,F,SI2,61.7,61.0,4.44,4.48,2.75,447
1.08,Fair,J,VS2,65.1,54.0,6.47,6.44,4.2,3980
1.01,Premium,G,VS1,59.5,60.0,6.49,6.48,3.86,4853
1.2,Premium,J,SI1,61.5,59.0,6.84,6.81,4.2,4657
0.52,Ideal,E,VS2,61.5,56.0,5.2,5.18,3.19,1694
0.78,Premium,H,SI1,60.0,60.0,5.93,5.92,3.62,2489
0.41,Premium,H,SI2,60.9,60.0,4.84,4.81,2.94,649
0.34,Ideal,F,VS2,62.1,56.0,4.45,4.47,2.77,686
0.86,Very Good,H,SI1,63.8,56.0,6.02,6.05,3.85,3115
2.1,Ideal,I,SI2,61.9,56.0,8.22,8.2,5.08,15653
1.16,Ideal,E,SI2,59.9,57.0,6.82,6.8,4.08,5093
1.11,Ideal,H,SI2,62.7,57.0,6.59,6.66,4.14,4578
1.02,Very Good,H,VS2,62.4,57.0,6.35,6.4,3.98,5565
0.34,Premium,E,VS2,62.6,58.0,4.45,4.43,2.78,956
0.41,Ideal,G,VVS1,61.5,57.0,4.79,4.82,2.95,1123
0.3,Very Good,D,VS2,62.9,59.0,4.22,4.27,2.67,710
1.32,Premium,I,SI1,60.3,60.0,7.14,7.09,4.29,6653
0.79,Ideal,E,SI2,61.0,57.0,6.0,5.95,3.65,3390
0.36,Ideal,D,VVS2,61.6,57.0,4.59,4.56,2.82,1114
0.36,Ideal,D,VS1,61.7,55.0,4.59,4.62,2.84,1064
0.92,Premium,H,SI1,62.4,58.0,6.19,6.22,3.87,3624
0.54,Ideal,H,SI1,61.1,56.0,5.25,5.27,3.21,1268
0.4,Very Good,E,VVS2,62.3,57.0,4.68,4.72,2.93,1043
0.27,Ideal,E,VVS2,62.2,55.0,4.17,4.12,2.58,799
1.44,Premium,G,VS2,59.5,61.0,7.38,7.3,4.37,11032
0.33,Ideal,D,VS2,62.3,57.0,4.45,4.41,2.76,1002
0.42,Ideal,G,SI2,60.7,57.0,4.87,4.84,2.95,829
0.7,Good,H,SI1,63.8,58.0,5.59,5.66,3.59,2066
1.22,Very Good,J,VS2,60.8,56.0,6.95,6.91,4.21,5160
1.0,Very Good,H,VS2,62.9,57.0,6.31,6.35,3.98,5121
0.9,Premium,G,VS2,61.5,60.0,6.16,6.13,3.78,4309
1.29,Premium,H,SI2,60.1,58.0,7.02,6.95,4.2,5924
0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,505
0.32,Premium,G,VS2,62.8,58.0,4.35,4.31,2.72,720
0.41,Ideal,F,VS2,61.5,56.0,4.79,4.83,2.96,1322
0.35,Ideal,I,VS1,61.7,54.0,4.54,4.57,2.81,571
1.01,Very Good,F,VS2,63.1,60.0,6.39,6.36,4.02,6533
0.42,Ideal,G,VVS1,61.7,55.0,4.84,4.78,2.97,1235
0.42,Ideal,F,VVS2,61.6,56.0,4.85,4.83,2.98,1221
0.32,Premium,G,VS1,62.1,55.0,4.44,4.41,2.75,828
0.3,Very Good,G,VS1,60.2,62.0,4.3,4.31,2.59,565
0.4,Ideal,E,VVS2,61.4,59.0,4.71,4.74,2.9,1106
0.31,Ideal,D,SI1,60.8,56.0,4.37,4.32,2.64,732
2.05,Ideal,J,VVS2,62.7,56.0,8.18,8.11,5.11,17214
0.31,Premium,F,VVS1,59.4,58.0,4.45,4.41,2.63,982
0.78,Ideal,D,SI1,62.2,55.0,5.92,5.95,3.69,3389
2.0,Premium,H,SI2,60.7,60.0,8.11,8.07,4.91,15451
0.38,Premium,G,VS2,59.9,58.0,4.77,4.72,2.84,983
0.6,Very Good,F,SI1,60.0,61.0,5.48,5.52,3.3,1554
1.5,Very Good,G,VS2,63.5,54.0,7.26,7.22,4.6,13239
1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,6389
0.83,Ideal,F,VS2,62.3,56.0,5.99,6.02,3.74,4417
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4222
0.23,Ideal,F,VVS1,62.7,57.0,3.9,3.92,2.45,530
0.54,Very Good,E,SI1,60.2,58.0,5.23,5.37,3.19,1358
0.74,Very Good,E,VS2,62.8,58.0,5.73,5.76,3.61,3323
0.3,Ideal,G,VS1,62.8,57.0,4.26,4.24,2.67,776
1.0,Very Good,G,VVS1,62.3,55.0,6.34,6.44,3.98,8246
0.7,Ideal,G,VS2,62.7,54.0,5.65,5.7,3.65,3172
1.2,Very Good,F,VS1,58.7,59.0,6.89,7.07,4.1,9574
1.03,Ideal,F,VS1,60.7,56.0,6.54,6.6,3.99,7296
0.39,Very Good,G,VVS2,63.4,57.0,4.65,4.62,2.94,956
0.3,Premium,H,VVS2,61.5,58.0,4.28,4.3,2.64,605
1.72,Very Good,G,SI2,62.4,59.0,7.63,7.67,4.77,10697
0.7,Ideal,G,VS1,60.5,56.0,5.77,5.79,3.5,3384
0.76,Ideal,H,VS2,62.7,57.0,5.86,5.82,3.66,2692
0.56,Ideal,D,VS2,61.1,56.0,5.3,5.33,3.25,1963
0.72,Very Good,E,SI1,62.6,59.0,5.66,5.71,3.56,2474
